Name,Subject,Rank,Score
TeddyBearsClub3277,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233323737,58,562.080000
TeddyBearsClub949,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562393439,59,562.070000
TeddyBearsClub225,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562323235,60,562.070000
TeddyBearsClub3864,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233383634,61,562.060000
TeddyBearsClub5157,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235313537,62,562.060000
TeddyBearsClub8199,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238313939,63,561.950000
TeddyBearsClub1551,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231353531,64,561.940000
TeddyBearsClub8930,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238393330,65,561.940000
TeddyBearsClub2458,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232343538,66,561.940000
TeddyBearsClub2445,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232343435,67,561.940000
TeddyBearsClub7713,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237373133,68,561.830000
TeddyBearsClub3992,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233393932,69,561.820000
TeddyBearsClub1384,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231333834,70,561.810000
TeddyBearsClub7403,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237343033,71,561.580000
TeddyBearsClub8078,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238303738,72,561.570000
TeddyBearsClub5606,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235363036,73,561.570000
TeddyBearsClub2114,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232313134,74,561.560000
TeddyBearsClub2857,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232383537,75,561.450000
TeddyBearsClub3677,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233363737,76,561.450000
TeddyBearsClub5273,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235323733,77,561.440000
TeddyBearsClub2626,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232363236,78,561.330000
TeddyBearsClub9577,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239353737,79,561.330000
TeddyBearsClub1159,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231313539,80,561.320000
TeddyBearsClub1043,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231303433,81,561.320000
TeddyBearsClub9128,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239313238,82,561.320000
TeddyBearsClub6393,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236333933,83,561.310000
TeddyBearsClub7177,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237313737,84,561.310000
TeddyBearsClub7998,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237393938,85,561.310000
TeddyBearsClub5693,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235363933,86,561.200000
TeddyBearsClub8764,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238373634,87,561.200000
TeddyBearsClub2523,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232353233,88,561.200000
TeddyBearsClub6657,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236363537,89,561.200000
TeddyBearsClub9250,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239323530,90,561.200000
TeddyBearsClub8821,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238383231,91,561.200000
TeddyBearsClub9534,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239353334,92,561.190000
TeddyBearsClub2025,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232303235,93,561.190000
TeddyBearsClub8965,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238393635,94,561.080000
TeddyBearsClub3662,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233363632,95,561.070000
TeddyBearsClub8375,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238333735,96,560.960000
TeddyBearsClub2799,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232373939,97,560.950000
TeddyBearsClub5538,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235353338,98,560.830000
TeddyBearsClub5847,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235383437,99,560.820000
TeddyBearsClub3724,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233373234,100,560.820000
TeddyBearsClub7153,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237313533,101,560.700000
TeddyBearsClub8434,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238343334,102,560.700000
TeddyBearsClub94,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c75623934,103,560.580000
TeddyBearsClub155,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562313535,104,560.580000
TeddyBearsClub3879,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233383739,105,560.570000
TeddyBearsClub5876,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235383736,106,560.450000
TeddyBearsClub7651,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237363531,107,560.440000
TeddyBearsClub4427,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234343237,108,560.440000
TeddyBearsClub1399,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231333939,109,560.440000
TeddyBearsClub1523,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231353233,110,560.330000
TeddyBearsClub1076,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231303736,111,560.330000
TeddyBearsClub9650,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239363530,112,560.330000
TeddyBearsClub5995,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235393935,113,560.320000
TeddyBearsClub5907,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235393037,114,560.320000
TeddyBearsClub9854,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239383534,115,560.320000
TeddyBearsClub7786,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237373836,116,560.320000
TeddyBearsClub7160,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237313630,117,560.200000
TeddyBearsClub8509,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353039,118,560.200000
TeddyBearsClub9067,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239303637,119,560.200000
TeddyBearsClub1456,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231343536,120,559.950000
TeddyBearsClub7886,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237383836,121,559.950000
TeddyBearsClub3302,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233333032,122,559.950000
TeddyBearsClub3513,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233353133,123,559.950000
TeddyBearsClub2072,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232303732,124,559.950000
TeddyBearsClub59,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c75623539,125,559.950000
TeddyBearsClub5253,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235323533,126,559.940000
TeddyBearsClub6494,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343934,127,559.830000
TeddyBearsClub138,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562313338,128,559.830000
TeddyBearsClub5566,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235353636,129,559.830000
TeddyBearsClub2992,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232393932,130,559.830000
TeddyBearsClub823,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562383233,131,559.820000
TeddyBearsClub5430,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235343330,132,559.820000
TeddyBearsClub3722,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233373232,133,559.710000
TeddyBearsClub3963,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233393633,134,559.710000
TeddyBearsClub1365,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231333635,135,559.710000
TeddyBearsClub6431,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343331,136,559.700000
TeddyBearsClub6485,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343835,137,559.700000
TeddyBearsClub4852,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234383532,138,559.590000
TeddyBearsClub8111,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238313131,139,559.590000
TeddyBearsClub7142,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237313432,140,559.580000
TeddyBearsClub8529,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353239,141,559.580000
TeddyBearsClub6025,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236303235,142,559.580000
TeddyBearsClub5280,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235323830,143,559.580000
TeddyBearsClub5101,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235313031,144,559.460000
TeddyBearsClub2823,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232383233,145,559.460000
TeddyBearsClub1800,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231383030,146,559.460000
TeddyBearsClub1854,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231383534,147,559.450000
TeddyBearsClub7055,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237303535,148,559.450000
TeddyBearsClub5739,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235373339,149,559.340000
TeddyBearsClub8342,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238333432,150,559.330000
TeddyBearsClub8576,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353736,151,559.330000
TeddyBearsClub1521,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231353231,152,559.220000
TeddyBearsClub2126,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232313236,153,559.210000
TeddyBearsClub3342,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233333432,154,559.210000
TeddyBearsClub7569,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237353639,155,559.210000
TeddyBearsClub3071,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233303731,156,559.090000
TeddyBearsClub2829,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232383239,157,559.090000
TeddyBearsClub1554,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231353534,158,559.080000
TeddyBearsClub9976,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239393736,159,559.070000
TeddyBearsClub9243,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239323433,160,558.960000
TeddyBearsClub8573,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353733,161,558.960000
TeddyBearsClub5731,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235373331,162,558.950000
TeddyBearsClub927,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562393237,163,558.950000
TeddyBearsClub8424,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238343234,164,558.840000
TeddyBearsClub9098,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239303938,165,558.830000
TeddyBearsClub5823,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235383233,166,558.820000
TeddyBearsClub7915,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237393135,167,558.710000
TeddyBearsClub9285,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239323835,168,558.710000
TeddyBearsClub3450,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233343530,169,558.710000
TeddyBearsClub9971,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239393731,170,558.710000
TeddyBearsClub2128,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232313238,171,558.710000
TeddyBearsClub456,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562343536,172,558.700000
TeddyBearsClub9200,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239323030,173,558.600000
TeddyBearsClub9378,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239333738,174,558.590000
TeddyBearsClub4914,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234393134,175,558.470000
TeddyBearsClub1669,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231363639,176,558.470000
TeddyBearsClub1041,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231303431,177,558.450000
TeddyBearsClub3756,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233373536,178,558.350000
TeddyBearsClub34,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c75623334,179,558.340000
TeddyBearsClub3127,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233313237,180,558.340000
TeddyBearsClub9977,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239393737,181,558.340000
TeddyBearsClub8103,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238313033,182,558.340000
TeddyBearsClub4348,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234333438,183,558.340000
TeddyBearsClub6560,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236353630,184,558.340000
TeddyBearsClub2926,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232393236,185,558.340000
TeddyBearsClub4303,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234333033,186,558.220000
TeddyBearsClub9672,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239363732,187,558.210000
TeddyBearsClub2281,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232323831,188,558.210000
TeddyBearsClub5323,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235333233,189,558.210000
TeddyBearsClub3491,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233343931,190,558.210000
TeddyBearsClub8517,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353137,191,558.210000
TeddyBearsClub1822,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231383232,192,558.200000
TeddyBearsClub5670,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235363730,193,558.090000
TeddyBearsClub3120,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233313230,194,558.090000
TeddyBearsClub4675,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234363735,195,558.080000
TeddyBearsClub5803,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235383033,196,558.080000
TeddyBearsClub6109,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236313039,197,558.080000
